"","day","date","team1","st1","st2","pt1","pt2","team2","group","venue","time","duration","winner"
"52","Sunday","2018-07-1","Croatia",1,1,3,2,"Denmark","Last 16","Nizhny Novgorod","07:00 pm",3,"Croatia"
"53","Monday","2018-07-2","Brazil",2,0,NA,NA,"Mexico","Last 16","Samara","03:00 pm",2,"Brazil"
"54","Monday","2018-07-2","Belgium",3,2,NA,NA,"Japan","Last 16","Rostov-on-Don","07:00 pm",2,"Belgium"
"55","Tuesday","2018-07-3","Sweden",1,0,NA,NA,"Switzerland","Last 16","St Petersburg","03:00 pm",2,"Sweden"
"56","Tuesday","2018-07-3","Colombia",1,1,3,4,"England","Last 16","Moscow","07:00 pm",3,"England"
"57","Friday","2018-07-6","Uruguay",0,2,NA,NA,"France","Quarter Final","Nizhny Novgorod","03:00 pm",2,"France"
"58","Friday","2018-07-6","Brazil",1,2,NA,NA,"Belgium","Quarter Final","Kazan","07:00 pm",2,"Belgium"
"59","Saturday","2018-07-7","Sweden",0,2,NA,NA,"England","Quarter Final","Samara","03:00 pm",2,"England"
"60","Saturday","2018-07-7","Russia",2,2,3,4,"Croatia","Quarter Final","Sochi","07:00 pm",3,"Croatia"
"61","Tuesday","2018-07-10","France",1,0,NA,NA,"Belgium","Semi Final","St Petersburg","07:00 pm",2,"France"
"62","Wednesday","2018-07-11","Croatia",2,1,NA,NA,"England","Semi Final","Moscow","07:00 pm",2.5,"Croatia"
"63","Saturday","2018-07-14","Belgium",2,0,NA,NA,"England","Third Place","St Petersburg","03:00 pm",2,"Belgium"
"64","Sunday","2018-07-15","France",4,2,NA,NA,"Croatia","Final","Moscow","04:00 pm",2,"France"
