      4 "000764","0010"
      7 "000764","0015"
      9 "000764","0020"
     17 "000764","0025"
     33 "000764","0030"
     39 "000764","0035"
     26 "000764","0040"
     37 "000764","0045"
     48 "000764","0050"
     33 "000764","0055"
     21 "000764","0100"
     20 "000764","0105"
     23 "000764","0110"
     18 "000764","0115"
     29 "000764","0120"
     29 "000764","0125"
     40 "000764","0130"
     19 "000764","0135"
     26 "000764","0140"
     23 "000764","0145"
     33 "000764","0150"
     26 "000764","0155"
     21 "000764","0210"
     17 "000764","0215"
     18 "000764","0220"
     28 "000764","0225"
      8 "000764","0230"
     21 "000764","0235"
     26 "000764","0240"
     12 "000764","0245"
     25 "000764","0250"
     22 "000764","0255"
      4 "000764","0300"
      3 "000764","0305"
     13 "000764","0310"
      5 "000764","0315"
      4 "000764","0320"
      3 "000764","0325"
     10 "000764","0330"
     28 "000764","0335"
     10 "000764","0340"
      7 "000764","0345"
      6 "000764","0350"
      3 "000764","0355"
      4 "000764","0410"
      4 "000764","0415"
      4 "000764","0420"
      2 "000764","0425"
     13 "000764","0430"
     19 "000764","0435"
      3 "000764","0440"
      2 "000764","0445"
      5 "000764","0450"
      6 "000764","0455"
      1 "000764","0510"
      4 "000764","0515"
      2 "000764","0525"
      1 "000764","0530"
      1 "000764","0535"
      2 "000764","0540"
      2 "000764","0550"
      3 "000764","0555"
      2 "000764","0610"
      3 "000764","0615"
      7 "000764","0625"
     12 "000764","0630"
      3 "000764","0635"
      9 "000764","0640"
      4 "000764","0645"
      6 "000764","0650"
      6 "000764","0655"
     10 "000764","0700"
      5 "000764","0705"
      3 "000764","0710"
      5 "000764","0715"
      6 "000764","0720"
      8 "000764","0725"
      6 "000764","0730"
     12 "000764","0735"
     10 "000764","0740"
      6 "000764","0745"
     15 "000764","0750"
     15 "000764","0755"
     12 "000764","0800"
      8 "000764","0805"
      6 "000764","0810"
     20 "000764","0815"
     24 "000764","0820"
     19 "000764","0825"
     13 "000764","0830"
     12 "000764","0835"
     12 "000764","0840"
     19 "000764","0845"
     10 "000764","0850"
     14 "000764","0855"
     19 "000764","0910"
     10 "000764","0915"
     31 "000764","0920"
     23 "000764","0925"
     20 "000764","0930"
     22 "000764","0935"
     32 "000764","0940"
     22 "000764","0945"
      8 "000764","0950"
     15 "000764","0955"
     24 "000764","1000"
     32 "000764","1005"
     27 "000764","1010"
     51 "000764","1015"
     19 "000764","1020"
     45 "000764","1025"
     37 "000764","1030"
     40 "000764","1035"
     63 "000764","1040"
     32 "000764","1045"
     51 "000764","1050"
     71 "000764","1055"
     37 "000764","1100"
    112 "000764","1105"
    116 "000764","1110"
     80 "000764","1115"
     72 "000764","1120"
     70 "000764","1125"
     72 "000764","1130"
     76 "000764","1135"
    120 "000764","1140"
    166 "000764","1145"
    198 "000764","1150"
    134 "000764","1155"
    163 "000764","1200"
    165 "000764","1205"
    259 "000764","1210"
    226 "000764","1215"
    176 "000764","1220"
    134 "000764","1225"
    189 "000764","1230"
    133 "000764","1235"
    169 "000764","1240"
    161 "000764","1245"
    175 "000764","1250"
     99 "000764","1255"
    190 "000764","1300"
    240 "000764","1305"
    177 "000764","1310"
    158 "000764","1315"
    150 "000764","1320"
    129 "000764","1325"
     90 "000764","1330"
    154 "000764","1335"
    150 "000764","1340"
    149 "000764","1345"
