2016-11-08,429
2016-11-09,434
2016-11-10,434
2016-11-11,437
2016-11-12,430
2016-11-13,423
2016-11-14,429
2016-11-15,438
2016-11-16,444
2016-11-17,445
2016-11-18,450
2016-11-19,448
2016-11-20,440
2016-11-21,447
2016-11-22,450
2016-11-23,454
2016-11-24,458
2016-11-25,457
2016-11-26,455
2016-11-27,444
2016-11-28,456
2016-11-29,468
2016-11-30,472
2016-12-01,475
2016-12-02,478
2016-12-03,476
2016-12-04,461
2016-12-05,466
2016-12-06,473
2016-12-07,474
2016-12-08,475
2016-12-09,477
2016-12-10,470
2016-12-11,458
2016-12-12,474
2016-12-13,480
2016-12-14,480
2016-12-15,479
2016-12-16,479
2016-12-17,473
2016-12-18,460
2016-12-19,472
2016-12-20,482
2016-12-21,485
2016-12-22,484
2016-12-23,482
2016-12-24,477
2016-12-25,425
2016-12-26,458
2016-12-27,470
2016-12-28,469
2016-12-29,471
2016-12-30,468
2016-12-31,468
