      1 "000763","0115"
      1 "000763","0215"
      1 "000763","0415"
      1 "000763","0500"
      1 "000763","0505"
      1 "000763","0515"
      1 "000763","0615"
      1 "000763","0715"
      1 "000763","0815"
      1 "000763","0915"
      1 "000763","1015"
      1 "000763","1115"
      1 "000763","1130"
      1 "000763","1215"
      1 "000763","1315"
      1 "000763","1415"
      1 "000763","1515"
      1 "000763","1525"
      1 "000763","1530"
      1 "000763","1535"
      1 "000763","1550"
      1 "000763","1615"
      1 "000763","1715"
      1 "000763","1755"
      1 "000763","1800"
      1 "000763","1815"
      1 "000763","1915"
      1 "000763","2115"
      1 "000763","2215"
      1 "000763","2315"
      5 "000774","0830"
      3 "000774","0835"
      6 "000774","0840"
      6 "000774","0845"
      4 "000774","0850"
     10 "000774","0855"
      8 "000774","0910"
      5 "000774","0915"
      8 "000774","0920"
      4 "000774","0925"
      5 "000774","0930"
     10 "000774","0935"
      5 "000774","0940"
      7 "000774","0945"
     14 "000774","0950"
      7 "000774","0955"
      5 "000774","1000"
     11 "000774","1005"
      8 "000774","1010"
      4 "000774","1015"
      8 "000774","1020"
      6 "000774","1030"
      9 "000774","1035"
      5 "000774","1040"
      6 "000774","1045"
     14 "000774","1050"
      6 "000774","1055"
     10 "000774","1100"
     11 "000774","1105"
     10 "000774","1110"
      9 "000774","1115"
      6 "000774","1120"
      8 "000774","1125"
     13 "000774","1130"
     18 "000774","1135"
     12 "000774","1140"
     18 "000774","1145"
     15 "000774","1150"
     10 "000774","1155"
     22 "000774","1200"
     15 "000774","1205"
     18 "000774","1210"
      7 "000774","1230"
      9 "000774","1240"
     15 "000774","1245"
     12 "000774","1250"
     29 "000774","1255"
     16 "000774","1300"
     15 "000774","1305"
     12 "000774","1310"
     14 "000774","1315"
     12 "000774","1320"
     16 "000774","1325"
      9 "000774","1330"
     14 "000774","1335"
     15 "000774","1340"
     17 "000774","1345"
     13 "000774","1350"
     15 "000774","1355"
     17 "000774","1400"
     17 "000774","1405"
     23 "000774","1410"
     18 "000774","1415"
     16 "000774","1420"
     13 "000774","1425"
     29 "000774","1430"
     10 "000774","1435"
     21 "000774","1440"
     21 "000774","1445"
     16 "000774","1450"
     13 "000774","1455"
     19 "000774","1500"
     22 "000774","1505"
     24 "000774","1510"
     21 "000774","1515"
     17 "000774","1520"
      6 "000774","1525"
     12 "000774","1530"
     13 "000774","1535"
     14 "000774","1540"
     11 "000774","1545"
     14 "000774","1550"
      9 "000774","1610"
     10 "000774","1615"
      7 "000774","1620"
     22 "000774","1625"
      6 "000774","1630"
     12 "000774","1635"
      9 "000774","1640"
     10 "000774","1645"
     12 "000774","1650"
      6 "000774","1655"
      6 "000774","1700"
      8 "000774","1705"
     11 "000774","1710"
      7 "000774","1715"
      6 "000774","1720"
      8 "000774","1725"
     10 "000774","1730"
