2016-09-12,296,58
2016-09-13,321,66
2016-09-14,322,67
2016-09-15,322,65
2016-09-16,329,71
2016-09-17,346,81
2016-09-18,273,53
2016-09-19,325,63
2016-09-20,348,69
2016-09-21,337,69
2016-09-22,336,68
2016-09-23,352,76
2016-09-24,355,81
2016-09-25,272,54
2016-09-26,320,63
2016-09-27,334,68
2016-09-28,346,74
2016-09-29,355,75
2016-09-30,384,85
2016-10-01,382,86
2016-10-02,297,60
2016-10-03,351,70
2016-10-04,354,71
2016-10-05,361,78
2016-10-06,370,85
2016-10-07,385,87
2016-10-08,385,89
2016-10-09,298,59
2016-10-10,352,67
2016-10-11,368,73
2016-10-12,376,77
2016-10-13,379,78
2016-10-14,410,87
2016-10-15,420,96
2016-10-16,315,60
2016-10-17,373,72
2016-10-18,393,77
2016-10-19,405,81
2016-10-20,404,80
2016-10-21,421,89
2016-10-22,418,96
2016-10-23,318,63
2016-10-24,381,77
2016-10-25,403,85
2016-10-26,411,87
2016-10-27,420,89
2016-10-28,445,100
2016-10-29,426,98
2016-10-30,323,66
2016-10-31,398,82
2016-11-01,397,80
2016-11-02,412,83
2016-11-03,418,83
2016-11-04,427,87
2016-11-05,446,98
2016-11-06,335,62
2016-11-07,403,74
2016-11-08,410,78
2016-11-09,423,81
2016-11-10,442,89
2016-11-11,460,96
2016-11-12,470,103
2016-11-13,369,72
2016-11-14,432,80
2016-11-15,463,86
2016-11-16,453,92
2016-11-17,457,93
2016-11-18,479,99
2016-11-19,513,116
2016-11-20,382,73
2016-11-21,418,74
2016-11-22,437,84
2016-11-23,462,94
2016-11-24,479,98
2016-11-25,533,126
2016-11-26,531,126
2016-11-27,392,82
2016-11-28,454,89
2016-11-29,463,91
2016-11-30,486,101
2016-12-01,497,109
2016-12-02,535,122
2016-12-03,551,133
2016-12-04,415,89
2016-12-05,466,95
2016-12-06,470,98
2016-12-07,480,107
2016-12-08,496,112
2016-12-09,507,121
2016-12-10,519,129
2016-12-11,409,91
2016-12-12,467,96
2016-12-13,482,103
2016-12-14,494,111
2016-12-15,514,117
2016-12-16,526,128
2016-12-17,526,132
2016-12-18,400,93
2016-12-19,489,115
2016-12-20,501,118
2016-12-21,496,122
2016-12-22,500,124
2016-12-23,495,119
2016-12-24,414,90
2016-12-25,165,18
